quote,tags
Be yourself; everyone else is already taken.,attributed-no-source;be-yourself;honesty;inspirational;misattributed-oscar-wilde
You've gotta dance like there's nobody watching,dance;heaven;hurt;inspirational;life;love;sing
Be the change that you wish to see in the world.,action;change;inspirational;philosophy;wish
No one can make you feel inferior without your consent.,confidence;inspirational;wisdom
Live as if you were to die tomorrow. Learn as if you were to live forever.,carpe-diem;education;inspirational;learning
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,darkness;drive-out;hate;inspirational;light;love;peace
"Without music, life would be a mistake.",inspirational;music;philosophy
We accept the love we think we deserve.,inspirational;love
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",attributed-no-source;be-yourself;inspirational
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,attributed-no-source;inspirational;life;live;miracle;miracles
"We are all in the gutter, but some of us are looking at the stars.",inspirational;optimism;perception;pessimism
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",books;dragons;fairy-tales;inspirational;paraphrasing-g-k-chesterton
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",attributed-no-source;hope;inspirational;misattributed-eleanor-roosevelt;past;present;widely-misattributed
"I have not failed. I've just found 10,000 ways that won't work.",edison;failure;inspirational;paraphrased
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",activism;apathy;hate;indifference;inspirational;love;opposite;philosophy
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,1929;imagination;inspirational;viereck-interview
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,inspirational
It is never too late to be what you might have been.,inspirational;source-unknown
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",attributed-no-source;friends;heartbreak;inspirational;life;love;sisters
There is no greater agony than bearing an untold story inside you.,1970;inspirational;stories;writing
Everything you can imagine is real.,art;imagination;inspirational;life
You can never get a cup of tea large enough or a book long enough to suit me.,books;inspirational;reading;tea
"To the well-organized mind, death is but the next great adventure.",death;inspirational
Life isn't about finding yourself. Life is about creating yourself.,inspirational;life;yourself
"Do what you can, with what you have, where you are.",inspirational
"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",anything-can-be;hope;impossible;inspirational;musn-t;possibilities;shouldn-t;won-t
